Feature,Coefficient,Model
Cytoplasm_Correlation_K_PM_ER,0.011831611759317958,localhost240926150001
Cytoplasm_Correlation_Manders_Actin_Hoechst,0.0,localhost240926150001
Cytoplasm_Correlation_Manders_ER_Hoechst,0.0,localhost240926150001
Cytoplasm_Correlation_Overlap_ER_Mitochondria,0.0,localhost240926150001
Cytoplasm_Correlation_Overlap_ER_PM,0.0,localhost240926150001
Cytoplasm_Correlation_Overlap_Mitochondria_PM,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_Actin_Mitochondria,-0.0008898241533052737,localhost240926150001
Cytoplasm_Correlation_RWC_Actin_PM,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_ER_Mitochondria,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_ER_PM,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_Hoechst_Mitochondria,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_Hoechst_PM,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_Mitochondria_ER,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_Mitochondria_Hoechst,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_Mitochondria_PM,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_PM_ER,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_PM_Hoechst,0.0,localhost240926150001
Cytoplasm_Correlation_RWC_PM_Mitochondria,0.0,localhost240926150001
Cytoplasm_Granularity_1_Hoechst,-0.06550683372183785,localhost240926150001
Cytoplasm_Granularity_1_Mitochondria,0.0,localhost240926150001
Cytoplasm_Granularity_1_PM,0.0,localhost240926150001
Cytoplasm_Granularity_2_Actin,0.014058417679942798,localhost240926150001
Cytoplasm_Granularity_2_ER,0.0,localhost240926150001
Cytoplasm_Granularity_2_Hoechst,0.0,localhost240926150001
Cytoplasm_Granularity_2_Mitochondria,0.0,localhost240926150001
Cytoplasm_Granularity_2_PM,0.0,localhost240926150001
Cytoplasm_Intensity_IntegratedIntensity_ER,0.0,localhost240926150001
Cytoplasm_Intensity_IntegratedIntensity_Hoechst,0.0,localhost240926150001
Cytoplasm_Intensity_IntegratedIntensity_Mitochondria,0.0,localhost240926150001
Cytoplasm_Intensity_IntegratedIntensity_PM,0.0,localhost240926150001
Cytoplasm_Intensity_LowerQuartileIntensity_Actin,0.6743220007881786,localhost240926150001
Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.0,localhost240926150001
Cytoplasm_Intensity_LowerQuartileIntensity_Hoechst,0.0,localhost240926150001
Cytoplasm_Intensity_LowerQuartileIntensity_Mitochondria,0.0,localhost240926150001
Cytoplasm_Intensity_LowerQuartileIntensity_PM,0.0,localhost240926150001
Cytoplasm_Intensity_MADIntensity_Actin,0.39702441289818186,localhost240926150001
Cytoplasm_Intensity_MADIntensity_ER,0.0836450386862806,localhost240926150001
Cytoplasm_Intensity_MADIntensity_Hoechst,0.0,localhost240926150001
Cytoplasm_Intensity_MADIntensity_PM,0.0,localhost240926150001
Cytoplasm_Intensity_MassDisplacement_Actin,0.0,localhost240926150001
Cytoplasm_Intensity_MassDisplacement_ER,0.0,localhost240926150001
Cytoplasm_Intensity_MassDisplacement_Hoechst,-0.0016488987898114489,localhost240926150001
Cytoplasm_Intensity_MassDisplacement_Mitochondria,0.0,localhost240926150001
Cytoplasm_Intensity_MassDisplacement_PM,-0.10299456998904918,localhost240926150001
Cytoplasm_Intensity_MaxIntensityEdge_ER,0.0,localhost240926150001
Cytoplasm_Intensity_MaxIntensityEdge_Hoechst,0.0,localhost240926150001
Cytoplasm_Intensity_MaxIntensityEdge_Mitochondria,0.0,localhost240926150001
Cytoplasm_Intensity_MaxIntensityEdge_PM,0.0,localhost240926150001
Cytoplasm_Intensity_MaxIntensity_Actin,0.483530319797395,localhost240926150001
Cytoplasm_Intensity_MaxIntensity_ER,0.0,localhost240926150001
Cytoplasm_Intensity_MaxIntensity_Hoechst,0.0,localhost240926150001
Cytoplasm_Intensity_MaxIntensity_Mitochondria,0.0,localhost240926150001
Cytoplasm_Intensity_MaxIntensity_PM,0.0,localhost240926150001
Cytoplasm_Intensity_MinIntensityEdge_Actin,0.8841339279922819,localhost240926150001
Cytoplasm_Intensity_StdIntensityEdge_ER,0.0,localhost240926150001
Cytoplasm_Intensity_StdIntensityEdge_Hoechst,0.0,localhost240926150001
Cytoplasm_Intensity_StdIntensityEdge_Mitochondria,0.0,localhost240926150001
Cytoplasm_Intensity_StdIntensityEdge_PM,0.0,localhost240926150001
Cytoplasm_Intensity_StdIntensity_Hoechst,0.0,localhost240926150001
Cytoplasm_Location_MaxIntensity_Y_Actin,-0.07312873714678651,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Actin_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Actin_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Actin_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Actin_4of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_ER_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Hoechst_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Hoechst_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Hoechst_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Hoechst_4of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_4of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_FracAtD_PM_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Actin_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Actin_2of4,-0.004664788482363356,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Actin_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Actin_4of4,0.03234119060777463,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_ER_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_ER_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_ER_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_ER_4of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_4of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_2of4,0.014678953784233183,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Actin_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Actin_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Actin_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Actin_4of4,-0.11285900537863022,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_ER_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_ER_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_ER_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_ER_4of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Hoechst_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Hoechst_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Hoechst_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Hoechst_4of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_4of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_PM_1of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_PM_2of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_PM_3of4,0.0,localhost240926150001
Cytoplasm_RadialDistribution_RadialCV_PM_4of4,0.0,localhost240926150001
Cytoplasm_Texture_AngularSecondMoment_Actin_3_03_256,-0.6433741743412816,localhost240926150001
Cytoplasm_Texture_AngularSecondMoment_ER_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_AngularSecondMoment_PM_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_Contrast_ER_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_Contrast_Hoechst_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_Contrast_Mitochondria_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_Contrast_Mitochondria_3_01_256,0.012955095453553766,localhost240926150001
Cytoplasm_Texture_Contrast_Mitochondria_3_02_256,0.23321207453952592,localhost240926150001
Cytoplasm_Texture_Contrast_Mitochondria_3_03_256,0.0170437631418491,localhost240926150001
Cytoplasm_Texture_Contrast_PM_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Actin_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Actin_3_01_256,-0.19542901922263672,localhost240926150001
Cytoplasm_Texture_Correlation_Actin_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Actin_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_ER_3_00_256,0.02394524501612465,localhost240926150001
Cytoplasm_Texture_Correlation_ER_3_01_256,4.349937447299978e-05,localhost240926150001
Cytoplasm_Texture_Correlation_ER_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_ER_3_03_256,0.01309533368738279,localhost240926150001
Cytoplasm_Texture_Correlation_Hoechst_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Hoechst_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Hoechst_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Hoechst_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Mitochondria_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Mitochondria_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Mitochondria_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_Mitochondria_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_PM_3_00_256,0.04377260489548705,localhost240926150001
Cytoplasm_Texture_Correlation_PM_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_PM_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_Correlation_PM_3_03_256,0.0051956355157054225,localhost240926150001
Cytoplasm_Texture_DifferenceEntropy_ER_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_DifferenceEntropy_ER_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_DifferenceEntropy_Hoechst_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_DifferenceEntropy_PM_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_DifferenceEntropy_PM_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_DifferenceVariance_Actin_3_03_256,-0.3702855646670058,localhost240926150001
Cytoplasm_Texture_DifferenceVariance_ER_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_DifferenceVariance_Hoechst_3_02_256,-0.052714572412083355,localhost240926150001
Cytoplasm_Texture_DifferenceVariance_PM_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_Hoechst_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_Hoechst_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_Hoechst_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_Hoechst_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_01_256,0.009078095314527452,localhost240926150001
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_PM_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_PM_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_PM_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas1_PM_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas2_ER_3_00_256,0.02232142616209252,localhost240926150001
Cytoplasm_Texture_InfoMeas2_ER_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas2_ER_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas2_ER_3_03_256,0.0014811811603033093,localhost240926150001
Cytoplasm_Texture_InfoMeas2_Hoechst_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas2_PM_3_00_256,0.005580488725673314,localhost240926150001
Cytoplasm_Texture_InfoMeas2_PM_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_InfoMeas2_PM_3_03_256,0.04766802529763285,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_Hoechst_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_Mitochondria_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_Mitochondria_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_Mitochondria_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_Mitochondria_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_SumAverage_Hoechst_3_00_256,0.0,localhost240926150001
Cytoplasm_Texture_SumEntropy_ER_3_01_256,0.027483385749310363,localhost240926150001
Cytoplasm_Texture_SumEntropy_Mitochondria_3_02_256,0.0,localhost240926150001
Cytoplasm_Texture_SumEntropy_PM_3_01_256,0.0,localhost240926150001
Cytoplasm_Texture_SumVariance_ER_3_03_256,0.15056705920041388,localhost240926150001
Cytoplasm_Texture_SumVariance_Hoechst_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_SumVariance_Mitochondria_3_03_256,0.0,localhost240926150001
Cytoplasm_Texture_SumVariance_PM_3_01_256,0.0,localhost240926150001
Cells_AreaShape_BoundingBoxArea,0.0,localhost240926150001
Cells_AreaShape_Compactness,0.0,localhost240926150001
Cells_AreaShape_Eccentricity,0.0,localhost240926150001
Cells_AreaShape_Extent,0.0,localhost240926150001
Cells_AreaShape_FormFactor,0.0,localhost240926150001
Cells_AreaShape_MedianRadius,0.0,localhost240926150001
Cells_AreaShape_MinFeretDiameter,-0.014894729265365086,localhost240926150001
Cells_AreaShape_Perimeter,0.0,localhost240926150001
Cells_AreaShape_Solidity,0.0,localhost240926150001
Cells_AreaShape_Zernike_0_0,-0.007947552777727797,localhost240926150001
Cells_AreaShape_Zernike_1_1,0.0,localhost240926150001
Cells_AreaShape_Zernike_2_0,0.0,localhost240926150001
Cells_AreaShape_Zernike_2_2,0.0,localhost240926150001
Cells_AreaShape_Zernike_3_1,0.0,localhost240926150001
Cells_AreaShape_Zernike_3_3,0.0,localhost240926150001
Cells_AreaShape_Zernike_4_0,0.05912106667544442,localhost240926150001
Cells_AreaShape_Zernike_4_2,0.017681997989201344,localhost240926150001
Cells_AreaShape_Zernike_4_4,0.0,localhost240926150001
Cells_AreaShape_Zernike_5_1,0.0,localhost240926150001
Cells_AreaShape_Zernike_5_3,0.0,localhost240926150001
Cells_AreaShape_Zernike_5_5,0.0,localhost240926150001
Cells_AreaShape_Zernike_6_0,0.0,localhost240926150001
Cells_AreaShape_Zernike_6_2,0.003128187974899346,localhost240926150001
Cells_AreaShape_Zernike_6_6,0.0,localhost240926150001
Cells_AreaShape_Zernike_7_1,0.0,localhost240926150001
Cells_AreaShape_Zernike_7_3,0.0,localhost240926150001
Cells_AreaShape_Zernike_7_5,0.0,localhost240926150001
Cells_AreaShape_Zernike_7_7,0.0,localhost240926150001
Cells_AreaShape_Zernike_8_0,-0.03664821907484374,localhost240926150001
Cells_AreaShape_Zernike_8_2,0.0,localhost240926150001
Cells_AreaShape_Zernike_8_4,0.0,localhost240926150001
Cells_AreaShape_Zernike_8_8,0.0,localhost240926150001
Cells_AreaShape_Zernike_9_1,0.01674162942976531,localhost240926150001
Cells_AreaShape_Zernike_9_3,-0.0023307196788508277,localhost240926150001
Cells_AreaShape_Zernike_9_9,0.0,localhost240926150001
Cells_Correlation_Correlation_Actin_Hoechst,-0.17782082611560923,localhost240926150001
Cells_Correlation_Correlation_Actin_Mitochondria,0.0,localhost240926150001
Cells_Correlation_Correlation_ER_Hoechst,-0.024890975643947794,localhost240926150001
Cells_Correlation_Correlation_ER_PM,0.0,localhost240926150001
Cells_Correlation_Correlation_Hoechst_Mitochondria,0.0,localhost240926150001
Cells_Correlation_Correlation_Hoechst_PM,0.0,localhost240926150001
Cells_Correlation_K_ER_Mitochondria,0.0,localhost240926150001
Cells_Correlation_K_ER_PM,0.0,localhost240926150001
Cells_Correlation_K_PM_ER,0.0,localhost240926150001
Cells_Correlation_K_PM_Mitochondria,0.0,localhost240926150001
Cells_Correlation_Manders_Actin_ER,0.0,localhost240926150001
Cells_Correlation_Manders_Hoechst_Actin,0.0,localhost240926150001
Cells_Correlation_Overlap_ER_PM,0.0,localhost240926150001
Cells_Correlation_Overlap_Mitochondria_PM,0.0,localhost240926150001
Cells_Correlation_RWC_ER_Hoechst,0.0,localhost240926150001
Cells_Correlation_RWC_Hoechst_ER,0.0,localhost240926150001
Cells_Correlation_RWC_Hoechst_Mitochondria,0.0,localhost240926150001
Cells_Correlation_RWC_Hoechst_PM,0.0,localhost240926150001
Cells_Correlation_RWC_Mitochondria_Hoechst,0.0,localhost240926150001
Cells_Correlation_RWC_PM_ER,0.0,localhost240926150001
Cells_Correlation_RWC_PM_Hoechst,0.0,localhost240926150001
Cells_Correlation_RWC_PM_Mitochondria,0.0,localhost240926150001
Cells_Granularity_1_Actin,0.0,localhost240926150001
Cells_Granularity_1_ER,0.0,localhost240926150001
Cells_Granularity_1_Hoechst,0.0,localhost240926150001
Cells_Granularity_2_PM,-0.0656721130570707,localhost240926150001
Cells_Intensity_IntegratedIntensityEdge_Actin,0.4781841059667377,localhost240926150001
Cells_Intensity_IntegratedIntensityEdge_ER,0.04378171444626413,localhost240926150001
Cells_Intensity_IntegratedIntensityEdge_Hoechst,0.0,localhost240926150001
Cells_Intensity_IntegratedIntensityEdge_Mitochondria,0.0,localhost240926150001
Cells_Intensity_IntegratedIntensityEdge_PM,0.0,localhost240926150001
Cells_Intensity_IntegratedIntensity_Actin,0.18702782798351728,localhost240926150001
Cells_Intensity_IntegratedIntensity_Hoechst,0.0,localhost240926150001
Cells_Intensity_MADIntensity_Hoechst,0.0,localhost240926150001
Cells_Intensity_MassDisplacement_Hoechst,0.0,localhost240926150001
Cells_Intensity_MaxIntensityEdge_Actin,0.22521202249665737,localhost240926150001
Cells_Intensity_MaxIntensityEdge_ER,0.0,localhost240926150001
Cells_Intensity_MaxIntensityEdge_Mitochondria,0.0,localhost240926150001
Cells_Intensity_MaxIntensityEdge_PM,0.0,localhost240926150001
Cells_Intensity_MaxIntensity_Hoechst,0.0,localhost240926150001
Cells_Intensity_MeanIntensityEdge_ER,0.0,localhost240926150001
Cells_Intensity_MeanIntensityEdge_Hoechst,0.0,localhost240926150001
Cells_Intensity_MeanIntensityEdge_Mitochondria,-0.08096835822589253,localhost240926150001
Cells_Intensity_MinIntensityEdge_Hoechst,0.0,localhost240926150001
Cells_Intensity_MinIntensity_Actin,0.20899090842461626,localhost240926150001
Cells_Intensity_StdIntensityEdge_Actin,0.0,localhost240926150001
Cells_Intensity_StdIntensityEdge_ER,0.0,localhost240926150001
Cells_Intensity_StdIntensityEdge_Mitochondria,0.0,localhost240926150001
Cells_Intensity_StdIntensityEdge_PM,-0.0020023379819747956,localhost240926150001
Cells_Intensity_UpperQuartileIntensity_Hoechst,0.0,localhost240926150001
Cells_Neighbors_AngleBetweenNeighbors_Adjacent,0.0,localhost240926150001
Cells_Neighbors_FirstClosestDistance_Adjacent,0.0,localhost240926150001
Cells_Neighbors_PercentTouching_Adjacent,-0.6142150512913394,localhost240926150001
Cells_Neighbors_SecondClosestDistance_Adjacent,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_Actin_1of4,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_Actin_2of4,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_Actin_3of4,-0.08888970506786475,localhost240926150001
Cells_RadialDistribution_FracAtD_Actin_4of4,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_Hoechst_1of4,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_Hoechst_2of4,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_Hoechst_3of4,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_Mitochondria_1of4,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_Mitochondria_2of4,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_PM_3of4,0.0,localhost240926150001
Cells_RadialDistribution_FracAtD_PM_4of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_Actin_1of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_Actin_2of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_Actin_3of4,-0.07346508990604413,localhost240926150001
Cells_RadialDistribution_MeanFrac_Actin_4of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_ER_1of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_ER_2of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_ER_3of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_Hoechst_1of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_Hoechst_2of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_Hoechst_3of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_Hoechst_4of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_Mitochondria_1of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_PM_1of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_PM_2of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_PM_3of4,0.0,localhost240926150001
Cells_RadialDistribution_MeanFrac_PM_4of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Actin_1of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Actin_2of4,0.037331740940053704,localhost240926150001
Cells_RadialDistribution_RadialCV_Actin_3of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Actin_4of4,-0.1340412076569899,localhost240926150001
Cells_RadialDistribution_RadialCV_ER_1of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_ER_2of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_ER_3of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_ER_4of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Hoechst_1of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Hoechst_2of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Hoechst_3of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Hoechst_4of4,0.0833586303352277,localhost240926150001
Cells_RadialDistribution_RadialCV_Mitochondria_1of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Mitochondria_2of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Mitochondria_3of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_Mitochondria_4of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_PM_1of4,-0.0234499516098128,localhost240926150001
Cells_RadialDistribution_RadialCV_PM_2of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_PM_3of4,0.0,localhost240926150001
Cells_RadialDistribution_RadialCV_PM_4of4,0.0,localhost240926150001
Cells_Texture_Contrast_Hoechst_3_00_256,0.0,localhost240926150001
Cells_Texture_Contrast_Hoechst_3_02_256,0.0,localhost240926150001
Cells_Texture_Correlation_Hoechst_3_00_256,0.0,localhost240926150001
Cells_Texture_Correlation_Hoechst_3_01_256,0.0,localhost240926150001
Cells_Texture_Correlation_Hoechst_3_02_256,0.0,localhost240926150001
