Feature,Coefficient,Model
Cytoplasm_Intensity_LowerQuartileIntensity_Mitochondria,0.0,localhost240928120001
Cytoplasm_Intensity_LowerQuartileIntensity_PM,0.02740789432440031,localhost240928120001
Cytoplasm_Intensity_MADIntensity_Actin,0.0,localhost240928120001
Cytoplasm_Intensity_MADIntensity_Hoechst,0.0,localhost240928120001
Cytoplasm_Intensity_MassDisplacement_Actin,0.0,localhost240928120001
Cytoplasm_Intensity_MassDisplacement_ER,0.0,localhost240928120001
Cytoplasm_Intensity_MassDisplacement_Hoechst,0.005435280021314741,localhost240928120001
Cytoplasm_Intensity_MassDisplacement_Mitochondria,0.0,localhost240928120001
Cytoplasm_Intensity_MassDisplacement_PM,0.0,localhost240928120001
Cytoplasm_Intensity_MaxIntensityEdge_ER,0.0,localhost240928120001
Cytoplasm_Intensity_MaxIntensityEdge_Hoechst,0.0,localhost240928120001
Cytoplasm_Intensity_MaxIntensityEdge_Mitochondria,0.0,localhost240928120001
Cytoplasm_Intensity_MaxIntensityEdge_PM,0.0,localhost240928120001
Cytoplasm_Intensity_MaxIntensity_Actin,0.09174017906953727,localhost240928120001
Cytoplasm_Intensity_MaxIntensity_ER,0.0,localhost240928120001
Cytoplasm_Intensity_MaxIntensity_Hoechst,0.0,localhost240928120001
Cytoplasm_Intensity_MaxIntensity_Mitochondria,0.0,localhost240928120001
Cytoplasm_Intensity_MaxIntensity_PM,0.0,localhost240928120001
Cytoplasm_Intensity_MedianIntensity_ER,0.0,localhost240928120001
Cytoplasm_Intensity_MedianIntensity_Hoechst,0.0,localhost240928120001
Cytoplasm_Intensity_StdIntensityEdge_ER,0.0,localhost240928120001
Cytoplasm_Intensity_StdIntensityEdge_Hoechst,0.0,localhost240928120001
Cytoplasm_Intensity_StdIntensityEdge_PM,0.0,localhost240928120001
Cytoplasm_Intensity_StdIntensity_Hoechst,0.0,localhost240928120001
Cytoplasm_Intensity_StdIntensity_Mitochondria,0.0,localhost240928120001
Cytoplasm_Intensity_UpperQuartileIntensity_ER,0.007318040358482598,localhost240928120001
Cytoplasm_Location_MaxIntensity_Y_Actin,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Actin_1of4,-0.00477031973704054,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Actin_2of4,-0.04999414615987929,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Actin_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Actin_4of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_ER_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_ER_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Hoechst_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Hoechst_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Hoechst_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Hoechst_4of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_4of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_FracAtD_PM_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Actin_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Actin_2of4,-0.02107027279443867,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Actin_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Actin_4of4,0.1509193450838754,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_ER_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_ER_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_ER_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_4of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_4of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Actin_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Actin_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Actin_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Actin_4of4,-0.02335849092001311,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_ER_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_ER_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_ER_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_ER_4of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Hoechst_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Hoechst_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Hoechst_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Hoechst_4of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_4of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_PM_1of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_PM_2of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_PM_3of4,0.0,localhost240928120001
Cytoplasm_RadialDistribution_RadialCV_PM_4of4,0.0,localhost240928120001
Cytoplasm_Texture_AngularSecondMoment_Actin_3_01_256,-0.2942167614658801,localhost240928120001
Cytoplasm_Texture_AngularSecondMoment_ER_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_AngularSecondMoment_PM_3_01_256,-0.03555156103315872,localhost240928120001
Cytoplasm_Texture_Contrast_Actin_3_00_256,0.04934273083376352,localhost240928120001
Cytoplasm_Texture_Contrast_Actin_3_01_256,0.23305284230693088,localhost240928120001
Cytoplasm_Texture_Contrast_Actin_3_02_256,0.32561645583288595,localhost240928120001
Cytoplasm_Texture_Contrast_Actin_3_03_256,0.0,localhost240928120001
Cytoplasm_Texture_Contrast_ER_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_Contrast_Hoechst_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_Contrast_PM_3_03_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_Actin_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_Actin_3_02_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_ER_3_00_256,0.016519945899238657,localhost240928120001
Cytoplasm_Texture_Correlation_ER_3_01_256,0.004412158174622261,localhost240928120001
Cytoplasm_Texture_Correlation_ER_3_02_256,0.04476566258607489,localhost240928120001
Cytoplasm_Texture_Correlation_ER_3_03_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_Hoechst_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_Hoechst_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_Hoechst_3_02_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_Hoechst_3_03_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_PM_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_PM_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_PM_3_02_256,0.0,localhost240928120001
Cytoplasm_Texture_Correlation_PM_3_03_256,0.0,localhost240928120001
Cytoplasm_Texture_DifferenceEntropy_ER_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_DifferenceEntropy_ER_3_02_256,0.0,localhost240928120001
Cytoplasm_Texture_DifferenceEntropy_Hoechst_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_DifferenceVariance_Actin_3_01_256,-0.04289046459303038,localhost240928120001
Cytoplasm_Texture_DifferenceVariance_ER_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_DifferenceVariance_Hoechst_3_00_256,-0.04072838402401014,localhost240928120001
Cytoplasm_Texture_DifferenceVariance_PM_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas1_Actin_3_01_256,0.011326826934534094,localhost240928120001
Cytoplasm_Texture_InfoMeas1_Actin_3_02_256,0.016508657123544917,localhost240928120001
Cytoplasm_Texture_InfoMeas1_Hoechst_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas1_Hoechst_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas1_Hoechst_3_02_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas1_Hoechst_3_03_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas1_PM_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas1_PM_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas1_PM_3_02_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas1_PM_3_03_256,0.0014872084907890377,localhost240928120001
Cytoplasm_Texture_InfoMeas2_Actin_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas2_Actin_3_02_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas2_ER_3_00_256,0.0033390804664091933,localhost240928120001
Cytoplasm_Texture_InfoMeas2_ER_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas2_ER_3_02_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas2_ER_3_03_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas2_Hoechst_3_03_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas2_PM_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas2_PM_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas2_PM_3_02_256,0.0,localhost240928120001
Cytoplasm_Texture_InfoMeas2_PM_3_03_256,0.0,localhost240928120001
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_InverseDifferenceMoment_Hoechst_3_00_256,0.0,localhost240928120001
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_00_256,-0.06135256383445806,localhost240928120001
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_01_256,-0.04577170185289747,localhost240928120001
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_02_256,-0.12589900940220006,localhost240928120001
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_03_256,-0.23025337741199509,localhost240928120001
Cytoplasm_Texture_SumAverage_Hoechst_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_SumEntropy_Actin_3_01_256,0.2996128013470382,localhost240928120001
Cytoplasm_Texture_SumEntropy_ER_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_SumVariance_Actin_3_01_256,-0.23523480893972804,localhost240928120001
Cytoplasm_Texture_SumVariance_ER_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_SumVariance_Hoechst_3_01_256,0.0,localhost240928120001
Cytoplasm_Texture_SumVariance_PM_3_01_256,0.0,localhost240928120001
Cells_AreaShape_BoundingBoxMinimum_X,0.0,localhost240928120001
Cells_AreaShape_Compactness,0.0,localhost240928120001
Cells_AreaShape_Eccentricity,0.0,localhost240928120001
Cells_AreaShape_Extent,0.0,localhost240928120001
Cells_AreaShape_FormFactor,0.0,localhost240928120001
Cells_AreaShape_MedianRadius,0.0,localhost240928120001
Cells_AreaShape_Orientation,0.0,localhost240928120001
Cells_AreaShape_Perimeter,0.0,localhost240928120001
Cells_AreaShape_Solidity,0.0,localhost240928120001
Cells_AreaShape_Zernike_0_0,-0.009476435857995095,localhost240928120001
Cells_AreaShape_Zernike_1_1,-0.09247478911581537,localhost240928120001
Cells_AreaShape_Zernike_2_0,0.0,localhost240928120001
Cells_AreaShape_Zernike_2_2,0.0,localhost240928120001
Cells_AreaShape_Zernike_3_1,-0.013467877214375265,localhost240928120001
Cells_AreaShape_Zernike_3_3,0.0,localhost240928120001
Cells_AreaShape_Zernike_4_0,0.0,localhost240928120001
Cells_AreaShape_Zernike_4_2,0.0,localhost240928120001
Cells_AreaShape_Zernike_4_4,0.0,localhost240928120001
Cells_AreaShape_Zernike_5_1,0.0,localhost240928120001
Cells_AreaShape_Zernike_5_3,0.0,localhost240928120001
Cells_AreaShape_Zernike_5_5,0.0,localhost240928120001
Cells_AreaShape_Zernike_6_0,0.0,localhost240928120001
Cells_AreaShape_Zernike_6_2,0.0,localhost240928120001
Cells_AreaShape_Zernike_6_6,0.0,localhost240928120001
Cells_AreaShape_Zernike_7_1,0.0,localhost240928120001
Cells_AreaShape_Zernike_7_3,0.0,localhost240928120001
Cells_AreaShape_Zernike_8_0,0.0,localhost240928120001
Cells_AreaShape_Zernike_8_2,0.0,localhost240928120001
Cells_AreaShape_Zernike_8_6,0.0,localhost240928120001
Cells_AreaShape_Zernike_8_8,0.0,localhost240928120001
Cells_AreaShape_Zernike_9_1,0.0,localhost240928120001
Cells_AreaShape_Zernike_9_3,0.0,localhost240928120001
Cells_Correlation_Correlation_Actin_Hoechst,0.0,localhost240928120001
Cells_Correlation_Correlation_Actin_Mitochondria,0.0,localhost240928120001
Cells_Correlation_Correlation_Actin_PM,0.0,localhost240928120001
Cells_Correlation_Correlation_ER_Hoechst,0.0,localhost240928120001
Cells_Correlation_Correlation_ER_PM,-0.022679334738155085,localhost240928120001
Cells_Correlation_Correlation_Hoechst_Mitochondria,0.0,localhost240928120001
Cells_Correlation_Correlation_Hoechst_PM,0.0,localhost240928120001
Cells_Correlation_K_ER_Hoechst,0.0,localhost240928120001
Cells_Correlation_K_ER_PM,0.0,localhost240928120001
Cells_Correlation_K_Hoechst_ER,0.0,localhost240928120001
Cells_Correlation_K_Hoechst_PM,0.0,localhost240928120001
Cells_Correlation_K_PM_ER,0.0,localhost240928120001
Cells_Correlation_Manders_Hoechst_Actin,0.0,localhost240928120001
Cells_Correlation_Manders_Mitochondria_Actin,0.0,localhost240928120001
Cells_Correlation_Manders_Mitochondria_ER,0.0,localhost240928120001
Cells_Correlation_Overlap_ER_Hoechst,0.0,localhost240928120001
Cells_Correlation_Overlap_ER_PM,0.0,localhost240928120001
Cells_Correlation_Overlap_Hoechst_PM,0.0,localhost240928120001
Cells_Correlation_RWC_ER_Hoechst,0.0,localhost240928120001
Cells_Correlation_RWC_ER_Mitochondria,0.0,localhost240928120001
Cells_Correlation_RWC_Hoechst_ER,0.0,localhost240928120001
Cells_Correlation_RWC_Hoechst_Mitochondria,0.0,localhost240928120001
Cells_Correlation_RWC_Hoechst_PM,0.004840291545855878,localhost240928120001
Cells_Correlation_RWC_Mitochondria_Hoechst,0.0,localhost240928120001
Cells_Correlation_RWC_PM_ER,0.0,localhost240928120001
Cells_Correlation_RWC_PM_Hoechst,0.0,localhost240928120001
Cells_Correlation_RWC_PM_Mitochondria,0.0,localhost240928120001
Cells_Granularity_1_Actin,0.0,localhost240928120001
Cells_Granularity_1_ER,0.0,localhost240928120001
Cells_Granularity_1_Hoechst,0.0,localhost240928120001
Cells_Granularity_2_PM,0.0,localhost240928120001
Cells_Intensity_IntegratedIntensityEdge_Actin,0.30453156691580574,localhost240928120001
Cells_Intensity_IntegratedIntensityEdge_ER,0.15006727086861785,localhost240928120001
Cells_Intensity_IntegratedIntensityEdge_Hoechst,0.0,localhost240928120001
Cells_Intensity_IntegratedIntensityEdge_Mitochondria,0.0,localhost240928120001
Cells_Intensity_IntegratedIntensityEdge_PM,0.13637318783606828,localhost240928120001
Cells_Intensity_IntegratedIntensity_Actin,0.04636555051722324,localhost240928120001
Cells_Intensity_IntegratedIntensity_Hoechst,0.0,localhost240928120001
Cells_Intensity_MassDisplacement_Hoechst,0.047635380130473755,localhost240928120001
Cells_Intensity_MaxIntensityEdge_Actin,0.058961327911509015,localhost240928120001
Cells_Intensity_MaxIntensityEdge_ER,0.0,localhost240928120001
Cells_Intensity_MaxIntensityEdge_Mitochondria,0.0,localhost240928120001
Cells_Intensity_MaxIntensityEdge_PM,0.0,localhost240928120001
Cells_Intensity_MaxIntensity_Hoechst,0.0,localhost240928120001
Cells_Intensity_MeanIntensityEdge_ER,0.0,localhost240928120001
Cells_Intensity_MeanIntensityEdge_Hoechst,0.0,localhost240928120001
Cells_Intensity_MeanIntensityEdge_Mitochondria,-0.017855189692408607,localhost240928120001
Cells_Intensity_MeanIntensityEdge_PM,0.0,localhost240928120001
Cells_Intensity_MinIntensityEdge_Actin,0.612571503267378,localhost240928120001
Cells_Intensity_MinIntensity_Actin,0.10594186962390362,localhost240928120001
Cells_Intensity_StdIntensityEdge_Actin,0.0,localhost240928120001
Cells_Intensity_StdIntensityEdge_ER,0.0,localhost240928120001
Cells_Intensity_StdIntensityEdge_Mitochondria,-0.07964426522798339,localhost240928120001
Cells_Intensity_StdIntensityEdge_PM,0.0,localhost240928120001
Cells_Intensity_UpperQuartileIntensity_Hoechst,0.0,localhost240928120001
Cells_Neighbors_PercentTouching_Adjacent,-0.3047655491719917,localhost240928120001
Cells_RadialDistribution_FracAtD_Actin_1of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_Actin_2of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_Actin_3of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_Actin_4of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_ER_1of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_ER_3of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_Hoechst_1of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_Hoechst_2of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_Hoechst_3of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_PM_1of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_PM_2of4,0.0,localhost240928120001
Cells_RadialDistribution_FracAtD_PM_3of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Actin_1of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Actin_2of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Actin_3of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Actin_4of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_ER_1of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_ER_2of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_ER_3of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Hoechst_1of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Hoechst_2of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Hoechst_3of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Hoechst_4of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Mitochondria_1of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Mitochondria_2of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Mitochondria_3of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_Mitochondria_4of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_PM_1of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_PM_2of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_PM_3of4,0.0,localhost240928120001
Cells_RadialDistribution_MeanFrac_PM_4of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Actin_1of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Actin_2of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Actin_3of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Actin_4of4,-0.11886699826149834,localhost240928120001
Cells_RadialDistribution_RadialCV_ER_1of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_ER_2of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_ER_3of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_ER_4of4,-0.02497306553379445,localhost240928120001
Cells_RadialDistribution_RadialCV_Hoechst_1of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Hoechst_2of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Hoechst_3of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Hoechst_4of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Mitochondria_1of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Mitochondria_2of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Mitochondria_3of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_Mitochondria_4of4,-0.025059524682288458,localhost240928120001
Cells_RadialDistribution_RadialCV_PM_1of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_PM_2of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_PM_3of4,0.0,localhost240928120001
Cells_RadialDistribution_RadialCV_PM_4of4,0.0,localhost240928120001
Cells_Texture_Contrast_Hoechst_3_00_256,0.0,localhost240928120001
Cells_Texture_Correlation_ER_3_00_256,0.0,localhost240928120001
Cells_Texture_Correlation_ER_3_02_256,0.0,localhost240928120001
Cells_Texture_Correlation_Hoechst_3_00_256,0.0,localhost240928120001
Cells_Texture_Correlation_Hoechst_3_01_256,0.0,localhost240928120001
Cells_Texture_Correlation_Hoechst_3_02_256,0.0,localhost240928120001
Cells_Texture_Correlation_Hoechst_3_03_256,0.0,localhost240928120001
Cells_Texture_Correlation_PM_3_00_256,0.0,localhost240928120001
Cells_Texture_Correlation_PM_3_01_256,0.0,localhost240928120001
Cells_Texture_Correlation_PM_3_02_256,0.0,localhost240928120001
Cells_Texture_Correlation_PM_3_03_256,0.0,localhost240928120001
