WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment,UCD ID,Well,Pathway
D,11,D11,19,failing,dilated_cardiomyopathy,UCD-0159533,UCD-0159533,D11,Cytoskeletal Signaling
E,2,E02,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E02,
E,3,E03,19,failing,dilated_cardiomyopathy,UCD-0159541,UCD-0159541,E03,Protein Tyrosine Kinase
E,4,E04,19,failing,dilated_cardiomyopathy,UCD-0159514B,UCD-0159514B,E04,Others
E,5,E05,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E05,
E,6,E06,19,failing,dilated_cardiomyopathy,UCD-0159556,UCD-0159556,E06,GPCR & G Protein
E,7,E07,19,failing,dilated_cardiomyopathy,UCD-0159564,UCD-0159564,E07,Epigenetics
E,8,E08,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E08,
E,9,E09,19,failing,dilated_cardiomyopathy,UCD-0159572,UCD-0159572,E09,Epigenetics
E,10,E10,19,failing,dilated_cardiomyopathy,UCD-0159580,UCD-0159580,E10,NF-?B
E,11,E11,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E11,
F,2,F02,19,failing,dilated_cardiomyopathy,UCD-0159588,UCD-0159588,F02,MAPK
F,3,F03,19,failing,dilated_cardiomyopathy,UCD-0159595,UCD-0159595,F03,Endocrinology & Hormones
F,4,F04,19,failing,dilated_cardiomyopathy,UCD-0159527,UCD-0159527,F04,DNA Damage
F,5,F05,19,failing,dilated_cardiomyopathy,UCD-0159534,UCD-0159534,F05,Others
F,6,F06,19,failing,dilated_cardiomyopathy,UCD-0159542,UCD-0159542,F06,MAPK
F,7,F07,19,failing,dilated_cardiomyopathy,UCD-0159549,UCD-0159549,F07,JAK/STAT
F,8,F08,19,failing,dilated_cardiomyopathy,UCD-0159557,UCD-0159557,F08,Others
F,9,F09,19,failing,dilated_cardiomyopathy,UCD-0159565,UCD-0159565,F09,TGF-beta/Smad
F,10,F10,19,failing,dilated_cardiomyopathy,UCD-0159573,UCD-0159573,F10,Protein Tyrosine Kinase
F,11,F11,19,failing,dilated_cardiomyopathy,UCD-0159581,UCD-0159581,F11,PI3K/Akt/mTOR
G,2,G02,19,failing,dilated_cardiomyopathy,UCD-0159589,UCD-0159589,G02,DNA Damage
G,3,G03,19,failing,dilated_cardiomyopathy,UCD-0001944,UCD-0001944,G03,Epigenetics
G,4,G04,19,failing,dilated_cardiomyopathy,UCD-0159665,UCD-0159665,G04,Others
G,5,G05,19,failing,dilated_cardiomyopathy,UCD-0159535,UCD-0159535,G05,Others
G,6,G06,19,failing,dilated_cardiomyopathy,UCD-0159543,UCD-0159543,G06,MAPK
G,7,G07,19,failing,dilated_cardiomyopathy,UCD-0159550,UCD-0159550,G07,MAPK
G,8,G08,19,failing,dilated_cardiomyopathy,UCD-0159558,UCD-0159558,G08,Cytoskeletal Signaling
G,9,G09,19,failing,dilated_cardiomyopathy,UCD-0159566,UCD-0159566,G09,DNA Damage
G,10,G10,19,failing,dilated_cardiomyopathy,UCD-0159574,UCD-0159574,G10,Epigenetics
G,11,G11,19,failing,dilated_cardiomyopathy,UCD-0159582,UCD-0159582,G11,Neuronal Signaling
