WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment,UCD ID,Well,Pathway
E,3,E03,19,failing,dilated_cardiomyopathy,UCD-0159340,UCD-0159340,E03,Others
E,4,E04,19,failing,dilated_cardiomyopathy,UCD-0159346,UCD-0159346,E04,Stem Cells &  Wnt
E,5,E05,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E05,
E,6,E06,19,failing,dilated_cardiomyopathy,UCD-0001900,UCD-0001900,E06,PI3K/Akt/mTOR
E,7,E07,19,failing,dilated_cardiomyopathy,UCD-0159356,UCD-0159356,E07,Cytoskeletal Signaling
E,8,E08,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E08,
E,9,E09,19,failing,dilated_cardiomyopathy,UCD-0159363,UCD-0159363,E09,Others
E,10,E10,19,failing,dilated_cardiomyopathy,UCD-0018540,UCD-0018540,E10,MAPK
E,11,E11,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E11,
F,2,F02,19,failing,dilated_cardiomyopathy,UCD-0159377,UCD-0159377,F02,Metabolism
F,3,F03,19,failing,dilated_cardiomyopathy,UCD-0159385,UCD-0159385,F03,Metabolism
F,4,F04,19,failing,dilated_cardiomyopathy,UCD-0000684,UCD-0000684,F04,Others
F,5,F05,19,failing,dilated_cardiomyopathy,UCD-0001186,UCD-0001186,F05,Neuronal Signaling
F,6,F06,19,failing,dilated_cardiomyopathy,UCD-0159341,UCD-0159341,F06,Metabolism
F,7,F07,19,failing,dilated_cardiomyopathy,UCD-0159347,UCD-0159347,F07,Metabolism
F,8,F08,19,failing,dilated_cardiomyopathy,UCD-0001861,UCD-0001861,F08,Angiogenesis
F,9,F09,19,failing,dilated_cardiomyopathy,UCD-0159357,UCD-0159357,F09,Apoptosis
F,10,F10,19,failing,dilated_cardiomyopathy,UCD-0011696,UCD-0011696,F10,JAK/STAT
F,11,F11,19,failing,dilated_cardiomyopathy,UCD-0159370,UCD-0159370,F11,PI3K/Akt/mTOR
G,2,G02,19,failing,dilated_cardiomyopathy,UCD-0159378,UCD-0159378,G02,Protein Tyrosine Kinase
G,3,G03,19,failing,dilated_cardiomyopathy,UCD-0159386,UCD-0159386,G03,DNA Damage
G,4,G04,19,failing,dilated_cardiomyopathy,UCD-0159335,UCD-0159335,G04,JAK/STAT
G,5,G05,19,failing,dilated_cardiomyopathy,UCD-0018448,UCD-0018448,G05,GPCR & G Protein
G,6,G06,19,failing,dilated_cardiomyopathy,UCD-0159342,UCD-0159342,G06,Others
G,7,G07,19,failing,dilated_cardiomyopathy,UCD-0001885,UCD-0001885,G07,PI3K/Akt/mTOR
G,8,G08,19,failing,dilated_cardiomyopathy,UCD-0159352,UCD-0159352,G08,Proteases
G,9,G09,19,failing,dilated_cardiomyopathy,UCD-0159358,UCD-0159358,G09,Metabolism
G,10,G10,19,failing,dilated_cardiomyopathy,UCD-0159364,UCD-0159364,G10,Others
G,11,G11,19,failing,dilated_cardiomyopathy,UCD-0159371,UCD-0159371,G11,Apoptosis
