WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment,UCD ID,Well,Pathway
D,10,D10,19,failing,dilated_cardiomyopathy,UCD-0159323,UCD-0159323,D10,Stem Cells &  Wnt
D,11,D11,19,failing,dilated_cardiomyopathy,UCD-0159329,UCD-0159329,D11,JAK/STAT
E,2,E02,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E02,
E,3,E03,19,failing,dilated_cardiomyopathy,UCD-0159300,UCD-0159300,E03,GPCR & G Protein
E,4,E04,19,failing,dilated_cardiomyopathy,UCD-0001790,UCD-0001790,E04,Cell Cycle
E,5,E05,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E05,
E,6,E06,19,failing,dilated_cardiomyopathy,UCD-0013217,UCD-0013217,E06,Epigenetics
E,7,E07,19,failing,dilated_cardiomyopathy,UCD-0159313,UCD-0159313,E07,Protein Tyrosine Kinase
E,8,E08,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E08,
E,9,E09,19,failing,dilated_cardiomyopathy,UCD-0018240,UCD-0018240,E09,PI3K/Akt/mTOR
E,10,E10,19,failing,dilated_cardiomyopathy,UCD-0018483,UCD-0018483,E10,Microbiology
E,11,E11,19,failing,dilated_cardiomyopathy,DMSO,DMSO,E11,
F,2,F02,19,failing,dilated_cardiomyopathy,UCD-0000101,UCD-0000101,F02,Endocrinology & Hormones
F,3,F03,19,failing,dilated_cardiomyopathy,UCD-0159320,UCD-0159320,F03,Metabolism
F,4,F04,19,failing,dilated_cardiomyopathy,UCD-0159324,UCD-0159324,F04,Angiogenesis
F,5,F05,19,failing,dilated_cardiomyopathy,UCD-0001869,UCD-0001869,F05,Protein Tyrosine Kinase
F,6,F06,19,failing,dilated_cardiomyopathy,UCD-0001818,UCD-0001818,F06,MAPK
F,7,F07,19,failing,dilated_cardiomyopathy,UCD-0018051,UCD-0018051,F07,Metabolism
F,8,F08,19,failing,dilated_cardiomyopathy,UCD-0159310,UCD-0159310,F08,GPCR & G Protein
F,9,F09,19,failing,dilated_cardiomyopathy,UCD-0159314,UCD-0159314,F09,PI3K/Akt/mTOR
F,10,F10,19,failing,dilated_cardiomyopathy,UCD-0000083,UCD-0000083,F10,Neuronal Signaling
F,11,F11,19,failing,dilated_cardiomyopathy,UCD-0018527,UCD-0018527,F11,Microbiology
G,2,G02,19,failing,dilated_cardiomyopathy,UCD-0000469,UCD-0000469,G02,Neuronal Signaling
G,3,G03,19,failing,dilated_cardiomyopathy,UCD-0159321,UCD-0159321,G03,Neuronal Signaling
G,4,G04,19,failing,dilated_cardiomyopathy,UCD-0159325,UCD-0159325,G04,PI3K/Akt/mTOR
G,5,G05,19,failing,dilated_cardiomyopathy,UCD-0159330,UCD-0159330,G05,Protein Tyrosine Kinase
G,6,G06,19,failing,dilated_cardiomyopathy,UCD-0159301,UCD-0159301,G06,Cell Cycle
G,7,G07,19,failing,dilated_cardiomyopathy,UCD-0159306,UCD-0159306,G07,Cell Cycle
G,8,G08,19,failing,dilated_cardiomyopathy,UCD-0159311,UCD-0159311,G08,GPCR & G Protein
G,9,G09,19,failing,dilated_cardiomyopathy,UCD-0159315,UCD-0159315,G09,PI3K/Akt/mTOR
G,10,G10,19,failing,dilated_cardiomyopathy,UCD-0000576,UCD-0000576,G10,Neuronal Signaling
G,11,G11,19,failing,dilated_cardiomyopathy,UCD-0000324,UCD-0000324,G11,Metabolism
